================ Training Loss (Fri Jun  5 10:01:43 2020) ================
(epoch: 3, iters: 32, time: 0.067, data: 1.173) G_GAN: 0.844 G_L1: 6.430 D_real: 0.659 D_fake: 0.655 
(epoch: 5, iters: 64, time: 0.092, data: 0.003) G_GAN: 1.185 G_L1: 6.436 D_real: 0.640 D_fake: 0.437 
(epoch: 7, iters: 96, time: 0.092, data: 0.004) G_GAN: 1.091 G_L1: 6.705 D_real: 0.674 D_fake: 0.828 
(epoch: 9, iters: 128, time: 0.091, data: 0.003) G_GAN: 1.076 G_L1: 6.691 D_real: 0.378 D_fake: 0.821 
(epoch: 11, iters: 160, time: 0.081, data: 0.005) G_GAN: 1.562 G_L1: 6.334 D_real: 0.404 D_fake: 0.756 
(epoch: 13, iters: 192, time: 0.092, data: 0.003) G_GAN: 1.378 G_L1: 7.628 D_real: 0.988 D_fake: 0.539 
(epoch: 15, iters: 224, time: 0.092, data: 0.003) G_GAN: 1.747 G_L1: 7.484 D_real: 0.418 D_fake: 0.507 
(epoch: 17, iters: 256, time: 0.093, data: 0.003) G_GAN: 1.513 G_L1: 7.162 D_real: 0.448 D_fake: 0.417 
(epoch: 19, iters: 288, time: 0.093, data: 0.004) G_GAN: 1.487 G_L1: 7.272 D_real: 0.471 D_fake: 0.564 
(epoch: 21, iters: 320, time: 0.093, data: 0.004) G_GAN: 1.450 G_L1: 7.297 D_real: 0.518 D_fake: 0.437 
(epoch: 23, iters: 352, time: 0.093, data: 0.004) G_GAN: 1.187 G_L1: 7.292 D_real: 0.706 D_fake: 0.423 
(epoch: 25, iters: 384, time: 0.050, data: 0.004) G_GAN: 1.009 G_L1: 8.040 D_real: 0.833 D_fake: 0.358 
(epoch: 28, iters: 32, time: 0.068, data: 1.045) G_GAN: 0.647 G_L1: 6.766 D_real: 0.983 D_fake: 0.413 
(epoch: 30, iters: 64, time: 0.093, data: 0.006) G_GAN: 1.533 G_L1: 7.452 D_real: 0.427 D_fake: 0.471 
(epoch: 32, iters: 96, time: 0.094, data: 0.003) G_GAN: 1.237 G_L1: 7.061 D_real: 0.586 D_fake: 0.425 
(epoch: 34, iters: 128, time: 0.094, data: 0.003) G_GAN: 1.181 G_L1: 6.347 D_real: 0.551 D_fake: 0.452 
(epoch: 36, iters: 160, time: 0.092, data: 0.004) G_GAN: 1.097 G_L1: 6.831 D_real: 0.526 D_fake: 0.665 
(epoch: 38, iters: 192, time: 0.092, data: 0.005) G_GAN: 0.778 G_L1: 6.650 D_real: 0.848 D_fake: 0.372 
(epoch: 40, iters: 224, time: 0.094, data: 0.004) G_GAN: 0.960 G_L1: 7.528 D_real: 0.859 D_fake: 0.463 
(epoch: 42, iters: 256, time: 0.093, data: 0.004) G_GAN: 1.403 G_L1: 6.602 D_real: 0.407 D_fake: 0.669 
(epoch: 44, iters: 288, time: 0.093, data: 0.004) G_GAN: 0.711 G_L1: 6.253 D_real: 0.645 D_fake: 0.508 
(epoch: 46, iters: 320, time: 0.093, data: 0.004) G_GAN: 0.875 G_L1: 6.700 D_real: 0.831 D_fake: 0.528 
(epoch: 48, iters: 352, time: 0.093, data: 0.005) G_GAN: 1.023 G_L1: 6.602 D_real: 0.670 D_fake: 0.620 
(epoch: 50, iters: 384, time: 0.052, data: 0.005) G_GAN: 0.509 G_L1: 5.811 D_real: 0.913 D_fake: 0.695 
(epoch: 53, iters: 32, time: 0.069, data: 1.068) G_GAN: 1.006 G_L1: 6.744 D_real: 0.700 D_fake: 0.453 
